2024-08-27 13:37:07 - INFO: Building Model
2024-08-27 13:37:30 - INFO: Loading Data
2024-08-27 13:37:34 - INFO: Loading Data
2024-08-27 13:37:39 - INFO: Loading Data
2024-08-27 13:37:43 - INFO: Loading Data
2024-08-27 13:37:47 - INFO: Loading Data
2024-08-27 13:37:51 - INFO: Loading Data
2024-08-27 13:37:55 - INFO: Loading Data
2024-08-27 13:37:59 - INFO: Loading Data
2024-08-27 13:38:04 - INFO: Loading Data
2024-08-27 13:38:08 - INFO: Loading Data
2024-08-27 13:38:12 - INFO: Loading Data
2024-08-27 13:38:17 - INFO: Loading Data
2024-08-27 13:38:21 - INFO: Loading Data
2024-08-27 13:38:26 - INFO: Loading Data
2024-08-27 13:38:30 - INFO: Loading Data
2024-08-27 13:38:34 - INFO: Loading Data
2024-08-27 13:38:38 - INFO: Loading Data
2024-08-27 13:38:42 - INFO: Loading Data
2024-08-27 13:38:47 - INFO: Loading Data
2024-08-27 13:38:51 - INFO: Loading Data
2024-08-27 13:38:55 - INFO: Loading Data
2024-08-27 13:38:59 - INFO: Loading Data
2024-08-27 13:39:04 - INFO: Loading Data
2024-08-27 13:39:08 - INFO: Loading Data
2024-08-27 13:39:12 - INFO: Loading Data
2024-08-27 13:39:16 - INFO: Loading Data
2024-08-27 13:39:20 - INFO: Loading Data
2024-08-27 13:39:24 - INFO: Loading Data
2024-08-27 13:39:29 - INFO: Loading Data
2024-08-27 13:39:34 - INFO: Loading Data
2024-08-27 13:39:38 - INFO: Loading Data
2024-08-27 13:39:43 - INFO: Loading Data
2024-08-27 13:39:47 - INFO: Loading Data
2024-08-27 13:39:52 - INFO: Loading Data
2024-08-27 13:39:56 - INFO: Loading Data
2024-08-27 13:40:00 - INFO: Loading Data
2024-08-27 13:40:04 - INFO: Loading Data
2024-08-27 13:40:09 - INFO: Loading Data
2024-08-27 13:40:12 - INFO: Loading Data
2024-08-27 13:40:17 - INFO: Loading Data
2024-08-27 13:40:22 - INFO: Loading Data
2024-08-27 13:40:26 - INFO: Loading Data
2024-08-27 13:40:30 - INFO: Loading Data
2024-08-27 13:40:34 - INFO: Loading Data
2024-08-27 13:40:39 - INFO: Loading Data
2024-08-27 13:40:43 - INFO: Loading Data
2024-08-27 13:40:47 - INFO: Loading Data
2024-08-27 13:40:52 - INFO: Loading Data
2024-08-27 13:40:55 - INFO: Loading Data
2024-08-27 13:40:59 - INFO: Loading Data
2024-08-27 13:41:03 - INFO: Loading Data
2024-08-27 13:41:07 - INFO: Loading Data
2024-08-27 13:41:11 - INFO: Loading Data
2024-08-27 13:41:16 - INFO: Loading Data
2024-08-27 13:41:20 - INFO: Loading Data
2024-08-27 13:41:24 - INFO: Loading Data
2024-08-27 13:41:29 - INFO: Loading Data
2024-08-27 13:41:34 - INFO: Loading Data
2024-08-27 13:41:38 - INFO: Loading Data
2024-08-27 13:41:42 - INFO: Loading Data
2024-08-27 13:41:46 - INFO: Loading Data
2024-08-27 13:41:50 - INFO: Loading Data
2024-08-27 13:41:54 - INFO: Loading Data
2024-08-27 13:41:58 - INFO: Loading Data
2024-08-27 13:42:02 - INFO: Loading Data
2024-08-27 13:42:07 - INFO: Loading Data
2024-08-27 13:42:12 - INFO: Loading Data
2024-08-27 13:42:16 - INFO: Loading Data
2024-08-27 13:42:20 - INFO: Loading Data
2024-08-27 13:42:24 - INFO: Loading Data
2024-08-27 13:42:29 - INFO: Loading Data
2024-08-27 13:42:34 - INFO: Loading Data
2024-08-27 13:42:38 - INFO: Loading Data
